"Path","Section","#","Name","Japanese","English","LineBreak"
"Dn/00/04.dat","0","118","???","さあ　このハスタさまの　気晴らしのために
潔く　死んでくれ","Now, sweetie, for the sake of Lord Hasta’s
peace and quiet, please die～!","TRUE"
"Dn/00/04.dat","0","122","Ruca","え…？","Eh...?","TRUE"
"Dn/00/04.dat","0","130","Hasta","な～んてナ！　ジョークジョーク！
ごめんよ～　ビビらせすぎちゃった？","Just kidding! IT’S A JOKE, MERELY A JOKE!
Sorry～! Did I scare you?","TRUE"
"Dn/00/04.dat","0","134","Hasta","エスプリがビビッドに　きいた
ハスタさま　一流の
軽いジョークだってばよ！　ニンニン！","Experience the Lord Hasta experience
with this first-class lightweight joke!
Believe it!","TRUE"
"Dn/00/04.dat","0","139","Hasta","ボクちん　戦場での殺し以外はしない主義！
さあて　西の戦場へ　向かうとするでごわすか！","You see, kill, kill, kill is all I do on the battlefield!
NOW! Time for me to go to the Westy Front!","TRUE"
"Dn/00/04.dat","0","143","Hasta","戦場で　ボクの可愛い子猫ちゃんたちが
待ってるゼ
アスタ・ラ・ビスタ・ベイベー","My sweet kitten’s waiting for me 
on the battlefield.
HASTA LA VISTA BABY!","TRUE"
"Dn/00/04.dat","0","173","Ruca","え～と…　恐かったんじゃなくて
なにいってるのか　わかんなくて
ビックリしただけなんだけど…","Uhh, rather than being scared,
I was so surprised that I didn’t
know what to do...","TRUE"
"Dn/00/04.dat","0","178","Ruca","なんか　今日はヘンな人に
やたら出会うな","For some reason, I only keep 
meeting weird people today.","TRUE"
"Dn/00/04.dat","0","183","Ruca","あ…　そうだ　そうだ
こんなことしてる場合じゃないや
エディたちが　待ってるんだったっけ","Oh, right! I shouldn’t loiter around,
Eddie and Nino must be waiting.","TRUE"
"Dn/01/00.dat","0","0","Billboard","このさきの橋　わたるべからず
吊り橋の修復時期は　未定です
ご面倒を　おかけします","Do not cross this bridge.
Please take the suspension bridge instead.
Thank you for your patience.","TRUE"
"Dn/01/03.dat","0","2","","石に文字が書かれているが
かすれていて読めない","There seems to be words etched on this stone,
but it’s faint and unreadable.","TRUE"
"Dn/01/03.dat","0","8","","エルマーナの両親ここに眠る","Hermana’s parents lie here.",""
"Dn/01/04.dat","0","0","Billboard","橋の補修完了しました
いつも　ていねいにお使いくださり
ありがとうございます","The repairs have been finished.
Thank you for your patience.","TRUE"
"Dn/01/05.dat","0","0","Billboard","橋の補修完了しました
いつも　ていねいにお使いくださり
ありがとうございます","The repairs have been finished.
Thank you for your patience.","TRUE"
"Dn/01/06.dat","0","0","Billboard","このさきの橋　わたるべからず
吊り橋の修復時期は　未定です
ご面倒を　おかけします","Do not cross this bridge.
Please take the suspension bridge instead.
Thank you for your patience.","TRUE"
"Dn/02/00.dat","0","9","Illia","絶対　逃げ出す隙はある
諦めたりなんかしないわ","I’m sure we’ll get the chance to escape.
I won’t give up here!","TRUE"
"Dn/02/00.dat","1","9","Spada","ったく
どんだけここにいなきゃなんねーんだ？
いい加減　飽きてきたぜ…","Um...
Are you alright...?
","TRUE"
"Dn/02/00.dat","2","14","Chitose","そうだわ
お近づきのしるしにこれを","Oh, right. Here, take this as a
token of our friendship.","TRUE"
"Dn/02/00.dat","2","18","Chitose","大事に使ってね","Take good care of it.","TRUE"
"Dn/02/00.dat","2","24","Chitose","あなたとは　なにか縁がありそう
ね　そう思わない？","I think you and I have a connection,
don’t you?","TRUE"
"Dn/02/00.dat","3","1","Grigori Soldier","じっとしていろ！
お前たちが抵抗しても　ここでは力は使えん！
早々に諦めろ！","Stay quiet! Resistance is futile, 
you cannot use your powers here!","TRUE"
"Dn/02/00.dat","4","1","Coda","腹減った
しかし　メシはまだか？","I’m hungry. Is it lunch yet?","TRUE"
"Dn/02/01.dat","0","9","Illia","折角だから　運命ってものを
信じてみるのもアリかもね","Maybe we should take a chance 
and believe in destiny.","TRUE"
"Dn/02/01.dat","1","9","Spada","おまえは　オレが守ってやる
だから　安心しろ","I’ll protect you.
So don’t worry.","TRUE"
"Dn/02/01.dat","2","1","Coda","退屈だな
待たせるなら　メシくらい出せ　しかし","How boring. Give me some food if 
you’re gonna keep me waiting.","TRUE"
"Dn/03/00.dat","0","3","Chitose","ルカくん　大丈夫？
少し休んでいく？","Ruca, are you okay?
Do you need some rest?","TRUE"
"Dn/03/00.dat","0","27","Chitose","無理だけはしないでね
そうだわ　良かったらこれを
きっと　あなたの役に立つわ","Just don’t overdo it, okay?
Oh, and if you want, here’s something
that might help you.","TRUE"
"Dn/03/00.dat","0","31","Chitose","それじゃあ　気をつけて
あなたの無事を祈ってるわ","Take care then.
I’ll be praying for your safety.","TRUE"
"Dn/03/00.dat","0","39","Chitose","無理だけはしないでね
もし危なくなったら　これを使って
きっと　あなたの役に立つわ","Just don’t overdo it, okay?
If you’re ever in danger, use this
to help.","TRUE"
"Dn/03/00.dat","0","43","Chitose","それじゃあ　気をつけて
あなたの無事を祈ってるわ","Take care then.
I’ll be praying for your safety.","TRUE"
"Dn/03/00.dat","0","50","Chitose","無理だけはしないでね
あなたの無事を祈ってるわ
それじゃあ　気をつけて","Just don’t overdo it, okay?
I hope you’ll be alright,
so take care.","TRUE"
"Dn/03/00.dat","0","57","Chitose","無理だけはしないでね
休みたくなったら　いつでも来てちょうだい
わたし　待ってるわ","Just take it easy. If you ever feel
like you need a break, come on by.
I’ll be waiting here.","TRUE"
"Dn/03/00.dat","0","65","Chitose","……………{variable}なに？　休むの？","...Do you need to rest?","TRUE"
"Dn/03/00.dat","0","87","Chitose","そうだ　これをあげるわ","Oh yes, let me give you this.","TRUE"
"Dn/03/00.dat","0","91","Chitose","ほら　早く行きなさいよ","Come on, get going now.","TRUE"
"Dn/03/00.dat","0","98","Chitose","ルカくんの足だけは　引っ張らないでちょうだい","Just don’t pull Ruca’s leg, okay?","TRUE"
"Dn/03/00.dat","0","105","Chitose","なんで話しかけたの…？
まぁ　いいわ","Why are you even talking to me?
Forget it...","TRUE"
"Dn/03/00.dat","0","113","Chitose","休んでいきますか？","Would you like to rest?","TRUE"
"Dn/03/00.dat","0","135","Chitose","あなたに　これを
ルカくんが危なくなったら　使ってちょうだい","Use this if Ruca is ever in danger.","TRUE"
"Dn/03/00.dat","0","139","Chitose","それじゃあ　お気をつけて","Then, take care.","TRUE"
"Dn/03/00.dat","0","146","Chitose","お気をつけて","Take care.","TRUE"
"Dn/03/00.dat","0","153","Chitose","お気をつけて","Take care.","TRUE"
"Dn/03/00.dat","0","160","Chitose","お金がないの？","Do you have enough money?","TRUE"
"Dn/03/00.dat","1","4","Imperial Supply Soldier","なんだか色々とゴタゴタしているな…
ところで　補給物資はいるか？","It’s chaos out there...
That said, would you like to buy some supplies?","TRUE"
"Dn/03/00.dat","1","19","Imperial Supply Soldier","兵に支給されている物資だ
受け取れ","Here’s some provisions for soldiers.
Take it.","TRUE"
"Dn/03/00.dat","1","23","Imperial Supply Soldier","他にも必要なものがあれば声をかけろ
戦うために必要な物資だからな
ぞんざいに扱うなよ","Feel free to call out to me if you need anything
else. These are provisions you can use during
battle. Handle it with care.","TRUE"
"Dn/03/00.dat","1","29","Imperial Supply Soldier","戦うために必要な物資だ
ぞんざいに扱うなよ","These are provisions you can use during battle.
Handle it with care.","TRUE"
"Dn/03/00.dat","1","35","Imperial Supply Soldier","ガラムに制圧されちまうとは…
補給物資はもう必要ないがいるか？","I can’t believe we’ve been overrun by Garam.
We don’t need any more supplies, do we?","TRUE"
"Dn/03/00.dat","1","41","Imperial Supply Soldier","軍は今　黎明の塔に向かっていると聞いた
テノスとの戦闘は　どうなったんだろうな
ところで　補給物資はいるか？","I heard the army’s heading to the Tower of Dawn.
I wonder how the battle against Tenos went?
That said, would you like to buy some supplies?","TRUE"
"Dn/03/00.dat","2","4","Imperial Commanding Officer","新しく部隊が来ると聞いていたが
まさかセレーナ牧師のところだったとは
牧師には　昔　かなり世話になった","I heard that a new troop would be arriving, but
to think that it was Pastor Serena’s.
You see, I was under his command back then.","TRUE"
"Dn/03/00.dat","2","7","Imperial Commanding Officer","今回の作戦　我が部隊も協力したい
ところではあるが　生憎と手負いばかり…
力になれぬとは…悔やまれる","As much as I would like to help with this mission,
I’m afraid most of my troops are wounded.
Apologies, for being unable to help.","TRUE"
"Dn/03/00.dat","2","37","Imperial Commanding Officer","言い忘れていたが
新兵である貴様らには　作戦を授けてやろう","I forgot to tell you but, as new recruits, you 
can get new strategies from me.","TRUE"
"Dn/03/00.dat","2","40","Imperial Commanding Officer","ただし戦果の証でもある
グレードポイントと交換だ","But only in exchange for grade points, 
a proof of your performance in battle.","TRUE"
"Dn/03/00.dat","2","46","Imperial Commanding Officer","作戦が欲しいか　では特別に作戦を授けてやろう
ただし　戦果の証でもある
グレードポイントと交換だ","You want new strategies? Fine, I’ll give you some.
But only in exchange for Grade points, 
a proof of your performance in battle.","TRUE"
"Dn/03/00.dat","2","59","Imperial Commanding Officer","さぁ　進め！
ガラムの兵に　貴様たちの力を知らしめてやれ！","Now onward!
Give those Garam soldiers a taste 
of what you can do!","TRUE"
"Dn/03/00.dat","2","67","Imperial Commanding Officer","生きて虜囚の辱めを受けず！
…などと思っておったが
生きてるって　超サイコーだな","I would rather die than be held prisoner!
...Is what I initially thought,
but it’s so great to be alive.","TRUE"
"Dn/03/00.dat","2","75","Imperial Commanding Officer","傷さえ癒えれば…
クソッ　前線は退いて
新任相手の鬼教官でもやるべきか…","Damn it, if only these wounds would heal...
I suppose I have no choice now but to retire
and terrorize my new replacement.","TRUE"
"Dn/03/00.dat","3","4","Imperial Soldier","あの人がセレーナ牧師…
なかなか人望があるお方だと　伺っている","That man is Pastor Serena...
I’ve been told that he’s fairly popular.","TRUE"
"Dn/03/00.dat","3","7","Imperial Soldier","そういえば　彼は王都軍の一部の間で
救済者とも呼ばれていると聞いたことがあるな","That said, I’ve heard that he’s called a “Savior”
among in the Imperial Army.","TRUE"
"Dn/03/00.dat","3","23","Imperial Soldier","新しく来た異能者か
…まだこんなガキだとはな","To think that these brats are the new Deviants...","TRUE"
"Dn/03/00.dat","3","26","Imperial Soldier","これ持っていきな","Wait here.","TRUE"
"Dn/03/00.dat","3","30","Imperial Soldier","ガキの死体は見たくねぇ
それがありゃあ　多少　生存確率はあがる","Here, have this, it should help with your survival.
I don’t want to see children’s corpses around here.","TRUE"
"Dn/03/00.dat","3","33","Imperial Soldier","…{variable}用心しろよ
ガラムのヤツらは強いぜ","Be careful... Those Garam soldiers are strong.","TRUE"
"Dn/03/00.dat","3","42","Imperial Soldier","…{variable}用心しろよ
ガラムのヤツらは強いぜ","Be careful... Those Garam soldiers are strong.","TRUE"
"Dn/03/00.dat","3","50","Imperial Soldier","お互い生き延びることが出来て　なによりだ
しかし　ガラムに制圧されてしまうとは…","I’m glad that we both somehow survived but
being overrun with Garam is...","TRUE"
"Dn/03/00.dat","3","58","Imperial Soldier","軍が黎明の塔へと向かっているらしいが
これ以上の情報が　なにも来ないとは…","I’ve heard that the army went to the Tower of
Dawn, but we haven’t received any updates yet...","TRUE"
"Dn/03/00.dat","3","61","Imperial Soldier","軍本部がどれだけ　混乱しているか
手に取るようにわかる","You can see just how chaotic this place can get.","TRUE"
"Dn/03/00.dat","4","4","Imperial Soldier","手負いのオレたちは　ここで待機か…
クソッ…　手伝いすら出来ないのか…","We have to stay here because we’re wounded...
Damn it! Is there really no other way...?","TRUE"
"Dn/03/00.dat","4","18","Imperial Soldier","軍人たるもの　自分の体力を見誤ったりするなよ
見誤れば即　死に繋がる
もちろん　武具の手入れも同様だ","As a soldier, you musn’t misjudge your strength.
Failure to do so will lead in your demise.
Of course, the same thing goes for your weapons.","TRUE"
"Dn/03/00.dat","4","26","Imperial Soldier","まさか　ガラムのヤツらに
一泡吹かせられるとはな…","To think that those Garam bastards was able
to catch us off guard...","TRUE"
"Dn/03/00.dat","4","34","Imperial Soldier","軍は　黎明の塔に向かっているそうだ
しかし　撤退命令が来ていないので
オレたちはここで様子見だ","They say that the army’s heading for the Tower of
Dawn, but they haven’t given us the order to retreat
yet. We’ll just stay here and see what happens.","FALSE"
"Dn/03/00.dat","5","10","Imperial Combat Medic","教団から手伝いが来ると聞いていたが…
遅いな…
おっと　すまない　休んでいくか？","I’ve heard that the Church sent someone out here
to help, but they’re late...
Oops, would you like to get some rest?","TRUE"
"Dn/03/00.dat","5","17","Imperial Combat Medic","初めての戦場だろう
緊張するのもわかる
休んでいくか？","This is your first battlefield, right?
I understand why you’re nervous.
Would you like to get some rest?","TRUE"
"Dn/03/00.dat","5","25","Imperial Combat Medic","教団の信者なら　任務を終え帰還した
今は　わたしが衛生兵の任務についている
休んでいくか？","If you’re asking about the Church member, they’ve
already returned home. I’m the one on duty now.
Would you like to get some rest?","TRUE"
"Dn/03/00.dat","5","32","Imperial Combat Medic","こんなときこそ　衛生兵である
我々が落ち着かないで　どうする
傷の手当てをする　見せてみろ","What can we medics do if we fail to calm down
in these situations? Show me your wounds, I’ll
treat you.","TRUE"
"Dn/03/00.dat","5","38","Imperial Combat Medic","戦況がどうであれ　傷ついた者がいれば
手当てをする　それが衛生兵だ
休んでいくか？","It is a medic’s duty to treat a wounded 
man no matter the situation.
Would you like to get some rest?","TRUE"
"Dn/03/00.dat","5","63","Imperial Combat Medic","そうか
休みたくなったら来ると良い","I see, feel free to come back when you want 
to rest.","TRUE"
"Dn/03/00.dat","5","70","Imperial Combat Medic","ん？
金は要らないぞ？","Hm? 
I don’t want your money, okay?","TRUE"
"Dn/03/00.dat","6","19","Ange’s Brother","魔物は　この奥の森にいます
君たちも　危なくなったらすぐに逃げてください","The monster is right in the forest behind us.
If feel that you’re in danger, don’t hesitate to run.","TRUE"
"Dn/03/00.dat","6","27","Ange’s Brother","ああ　アンジュ
会いに来てくれてありがとう
今日も元気そうでなによりです","Oh, Ange, thanks for visiting me.
I’m glad to see that you’re alright.","TRUE"
"Dn/03/00.dat","6","30","Ange’s Brother","旅をするのもいいですが
体には十分気をつけてくださいね","Traveling is nice and all, but 
please make sure that you get some rest.","TRUE"
"Dn/03/00.dat","6","38","Ange’s Brother","アンジュは良い仲間と　出会ったのですね
彼女を見ていると　そう思います
これからもアンジュのこと　宜しく頼みます","Whenever I see Ange, I can’t help but think
that she has found some good company.
I’ll be leaving her in your care from now on.","TRUE"
"Dn/03/00.dat","7","11","Imperial Soldier","手負いの対ガラム部隊に
協力を要請するのは　難しいか…","It’s hard to cooperate with the enemies that 
harmed us before.","TRUE"
"Dn/03/00.dat","7","19","Imperial Soldier","一体　どこに隠れてやがんだ…？
さっさと姿を見せろっての…","Where the heck are you hiding, exactly...?
Hurry up and show yourself...","TRUE"
"Dn/03/00.dat","7","27","Imperial Soldier","助けてくれて　ありがとな
あんたたちのおかげで　命拾いしたぜ","Thanks for saving my life.","TRUE"
"Dn/03/00.dat","8","11","Imperial Soldier","この先は強力な魔物が出るから
立ち入り禁止だ！
さぁ　子どもは家に帰った　帰った！","There’s a strong monster that appears 
around here so don’t come any closer!
Go home, brats! Shoo!","TRUE"
"Dn/03/00.dat","8","19","Imperial Soldier","……{variable}オレたちは　ここにいる
対ガラム部隊とは　別の部隊だ","Those of us here are a different unit from the
one that’s fighting Garam.","TRUE"
"Dn/03/00.dat","8","22","Imperial Soldier","任務の内容なら
セレーナ牧師から聞いただろう？","Didn’t Pastor Serena tell you what the
details of your mission is?","TRUE"
"Dn/03/00.dat","8","25","Imperial Soldier","子どもを行かせるなど…
セレーナ牧師を悲しませることだけは
絶対にするなよ！","To make children go against such a thing...
Don’t you ever make Pastor Serena sad!
Promise me that!","TRUE"
"Dn/03/00.dat","8","36","Imperial Soldier","あいつを倒したのは
セレーナ牧師の妹君だったのか
ははっ　牧師と似て　なかなか無茶するね","So the one that beat that thing was Pastor
Serena’s sister...
Haha, she’s just as reckless as her brother is.","TRUE"
"Dn/03/00.dat","8","44","Imperial Soldier","いくら王都軍が教団の信者を　捕まえているから
といって　セレーナ牧師を捕まえることは
オレには出来ないよ","No matter how many cultists the Imperial
Army capture, we can never capture
Pastor Serena.","TRUE"
"Dn/03/00.dat","8","47","Imperial Soldier","なんたって　この隊には
牧師に感謝している人たちが
たくさんいるからさ","After all, there are a lot of people in this unit
that are grateful to him.","TRUE"
"Dn/03/00.dat","9","11","Imperial Soldier","君たち　なにをしているんだ！
ここは子どもの来るところじゃない！
危険だから早く帰れッ！","What are you doing here!?
This is no place for children! 
It’s dangerous, so go home!","TRUE"
"Dn/03/00.dat","9","19","Imperial Soldier","危険だというのに…
今ならまだ間に合う
命のあるうちに帰れッ！","I told you it’s too dangerous...
You might still have a chance! Go home
while you’re still alive!","TRUE"
"Dn/03/00.dat","9","30","Imperial Soldier","こんな子どもが　あれを退治するなんて…
まさか異能の……
いや　今はそんなことはどうでもいいね","To think that even children can defeat 
such a thing... Are they... Falle--
No, who even cares anymore.","TRUE"
"Dn/03/00.dat","9","33","Imperial Soldier","助けてくれたこと　感謝するよ
本当　ありがとう","Thanks for saving me.
No, really. Thank you...","TRUE"
"Dn/03/00.dat","9","41","Imperial Soldier","セレーナ牧師には　本当　世話になっているよ
いつか恩返しがしたいくらいだ","Pastor Serena’s really been taking care of us.
I’d like to repay that debt someday.","TRUE"
"Dn/03/00.dat","10","4","Imperial Soldier","ここには　ガラム兵以外に
麻痺攻撃をしてくる敵もいるから
気をつけろよ","There are more than just Garam soldiers,
monsters that can inflict paralysis also
wander around here, so be careful.","TRUE"
"Dn/03/00.dat","10","7","Imperial Soldier","特に麻痺は攻撃時に高い確率で
強制的に攻撃が中断されるからな","Paralysis can stop any attacks you try to use and
leave you vulnerable.","TRUE"
"Dn/03/00.dat","10","10","Imperial Soldier","ほかにも　攻撃を受けた際に
気絶する確率が通常よりも高くなるんだ","In addition, enemy attacks will have a higher
chance to stun you.","TRUE"
"Dn/03/00.dat","10","13","Imperial Soldier","一定時間経てば回復するけど
戦いにくいことは間違いないからな","You’ll recover after some time passes, though.
It’s rough fighting while you’re paralyzed, so...","TRUE"
"Dn/03/00.dat","10","19","Imperial Soldier","それらを回復してくれる
パラライボトルを持っていくと良いぞ","Here, take this Paralysis Bottle. It should help
you recover from paralysis.","TRUE"
"Dn/03/00.dat","10","23","","バトルブックに
「状態異常・麻痺」が追加されました","“Paralysis” has been added to the Battle Book!","TRUE"
"Dn/03/00.dat","12","4","Imperial Soldier","この先は強力な魔物が出るから
立ち入り禁止だ！
さぁ　子どもは家に帰った　帰った！","There’s a strong monster that appears 
around here, so don’t come any closer!
Go home, brats! Shoo!","TRUE"
"Dn/03/00.dat","13","4","Imperial Commanding Officer","貴様ら　どこへ行くつもりだ！
戦場は向こうだ
さっさと　ガラム兵を倒してこい！","Where do you think your going?!
The battlefield’s that way!
Hurry and go defeat Garam!","TRUE"
"Dn/03/01.dat","0","10","Imperial Soldier","ガラム兵は　気配を消す
いつこっそりと目の前に現れるか
知れたもんじゃない　注意しろ","Garam Soldiers can easily erase their presence.
They might ambush you at any moment
so be careful!","TRUE"
"Dn/03/01.dat","0","17","Imperial Soldier","ナーオスの軍基地が破られるのも
時間の問題だ…","It’s only a matter of time before the Naohs Base
gets breached.","TRUE"
"Dn/03/01.dat","0","24","Imperial Soldier","ああ　王都へ戻っても
別の戦場へ送られるだけか…","Even if I go back to Regnum, I’ll just get sent
back to a different battlefield...","TRUE"
"Dn/03/01.dat","0","31","Imperial Soldier","クソ！　クソ！　クソッ！！
オズバルドというナマグサ軍師のせいで
俺たちは　負けたんだ！！","Damn it! Damn it!
We lost because of that corrupt bastard Oswald!","TRUE"
"Dn/03/01.dat","1","13","Imperial Soldier","しっかり食って　力をつけるのだぞ！","Eat well and grow stronger!","TRUE"
"Dn/03/01.dat","1","23","Imperial Soldier","おまえら新入りだな　陣営に行くのか？
なら　これをやろう","You guys look new, are you going to the camp?
Have this.","TRUE"
"Dn/03/01.dat","1","29","Imperial Soldier","しっかり食って　しっかり力をつけるがいい
そして死ぬなよ","It’s better if you eat well and grow stronger!
Don’t die!","TRUE"
"Dn/03/01.dat","1","38","Imperial Soldier","陣営に行くなら　気をつけろよ","Be careful if you’re going back to the camp.","TRUE"
"Dn/03/01.dat","1","51","Imperial Soldier","いいか？
この世界で生き抜いていくには　力が重要だ
しっかり食って　力をつけるのだぞ！","Listen to me, you need strength to survive in 
this world. Eat well and grow stronger!","TRUE"
"Dn/03/02.dat","0","5","Imperial Soldier","くっ…　オレは…もうダメだ…
良かったら…　これを使ってくれ……","Damn... it... I can’t...
Here... Take this...","TRUE"
"Dn/03/02.dat","0","9","Imperial Soldier","なに…礼はいらん…
オレの分まで…　生き延びて…くれよ………","N-No need to... thank... me...
Live... for me...","TRUE"
"Dn/03/02.dat","0","16","Imperial Soldier","………………………………","...","TRUE"
"Dn/03/02.dat","1","10","Imperial Soldier","ふん　あまり自分の力を過信しないことだ！
占拠できたのは　たまたま運が
良かっただけなのだからな！","Don’t get so full of yourself! You only 
got lucky that you managed to take over!","TRUE"
"Dn/03/02.dat","1","18","Imperial Soldier","くっ…　ガラムのヤツらめッ…！！","Curse you... Garam...!!","TRUE"
"Dn/03/02.dat","1","26","Imperial Soldier","わたしが負傷などしていなければ
ガラムのヤツらを　好き勝手には
させなかったというのに！","If only I wasn’t wounded, I wouldn’t have let
those Garam bastards do whatever they 
want!","TRUE"
"Dn/03/02.dat","1","34","Imperial Soldier","制圧されたとはいえ
この地は必ず　奪い返す！
それでこそ王都軍の兵と言えよう！","They might’ve taken over the camp, but
we’ll definitely get our camp back. 
That’s what makes us Imperial Soldiers!","TRUE"
"Dn/03/02.dat","1","37","Imperial Soldier","と…言いたいところだが
休戦となってしまったのならば　仕方ない","Is what I would’ve said but...
It can’t be helped if it’s a truce.","TRUE"
"Dn/03/02.dat","1","40","Imperial Soldier","なんだかんだ言って　平和が一番だよな！
平和ってスバラシィ～！","What am I saying, peace is the best!
Peace is wonderful～!","TRUE"
"Dn/03/02.dat","2","24","Garam Soldier","なっ！　敵襲だと！？
総員　戦闘態勢！","A-An ambush!?
All hands to battle stations!","TRUE"
"Dn/03/02.dat","2","34","Garam Soldier","くっ！　腰抜けどもが…
奇襲された程度で　逃げおって！","Cowards...!","TRUE"
"Dn/03/02.dat","2","38","Garam Soldier","こんな小僧ども　私一人で
始末してくれるわ！","I’ll take care of these brats myself!","TRUE"
"Dn/03/02.dat","3","20","Garam Soldier","敵襲だ！　総員構え！！","Enemy attack! All hands, ready!","TRUE"
"Dn/03/02.dat","4","2","Imperial Soldier","おそらく　敵の拠点の近くに　
背後に回れる獣道が存在するはずだ
それを利用して　敵を奇襲するんだ","There should be an animal trail that leads
behind them. You can use that to take
the enemy by surprise.","TRUE"
"Dn/03/02.dat","4","5","Imperial Soldier","成功すれば　戦闘を最小限に
抑えることができる","If you succeed, you can keep the fighting to 
a minimum.","TRUE"
"Dn/03/02.dat","4","8","Imperial Soldier","正面から　突っ込めば拠点にいる
敵兵全員を相手にすることになるから
気をつけろ","But, if you decide to go against them head-on
you’ll have to face all of them at once.
So be careful.","TRUE"
"Dn/03/02.dat","4","11","Imperial Soldier","なるべく　奇襲をかけ被害を最小限に抑えろ
成功すれば　報酬ももらえるから
頑張るのだな","Try and take them by surprise and minimize 
our casualties. Do that, and I’ll reward you.
Good luck!","TRUE"
"Dn/03/03.dat","0","14","Imperial Soldier","バカ　話し掛けるな！
こういう戦地では散開しろ！
目立ったらオシマイなんだよ","Don’t talk to me, you idiot!
We have to spread out in this kind of battlefield!
You’re dead if you stand out!","TRUE"
"Dn/03/03.dat","0","22","Imperial Soldier","バカ　話し掛けるなと言っただろう！
これをやるから　もう話しかけるな！","I told you not to talk to me!
Take this and stop pestering me!","TRUE"
"Dn/03/03.dat","0","31","Imperial Soldier","バカ　話し掛けるな！
こういう戦地では散開しろ！
目立ったらオシマイなんだよ","Don’t talk to me, you idiot!
We have to spread out in this kind of battlefield!
You’re dead if you stand out!","TRUE"
"Dn/03/03.dat","0","38","Imperial Soldier","嘘だ　嘘だ嘘だ！！
王都が敗れるなど…","It’s a lie! An absolute lie!!
The Imperial Army losing...","TRUE"
"Dn/03/03.dat","0","45","Imperial Soldier","ガラム兵はナーオスへ向かったよ
きっと　兵器工場だろうな","Garam Soldiers are on their way to Naohs.
Most likely aiming for the weapons factory.","TRUE"
"Dn/03/03.dat","0","52","Imperial Soldier","撤退命令があるまで帰れないんだ
国は　俺たち　生存者を見捨てるつもりなのか","We can’t leave until given the order to withdraw.
Does this country plan to abandon us survivors?","TRUE"
"Dn/03/03.dat","0","59","Imperial Soldier","休戦か…
これで　ようやく国へ帰れそうだ
敵国だけど　テノスには感謝しているよ","An armistice...
I can finally go home... I know they’re 
the enemy but I’m really greatful to Tenos.","TRUE"
"Dn/03/03.dat","1","10","Imperial Soldier","やっと占拠したと思ったら　クソ…！
すまないが…アップルグミを１つもらえないか？","Just when I thought I’ve won... shit!
Sorry, man, but can you give me an Apple Gel?","TRUE"
"Dn/03/03.dat","1","13/0","","渡す","Hand over","TRUE"
"Dn/03/03.dat","1","13/1","","渡さない","Don’t hand over","TRUE"
"Dn/03/03.dat","1","18","Imperial Soldier","ありがとう…
これでなんとか　戦えそうだ","Thanks man...
With this, I can keep on going.","TRUE"
