"File","#","Names","Japanese","English"
"Dn/00/02/401.dat","363","Ruca","………………","..."
"Dn/00/02/401.dat","369","Illia","いししししし…
この子たちいくらで売れるかしらねぇ？","Heheheh... I wonder how much 
these girls would sell for?"
"Dn/00/02/401.dat","375","Gold Coda","コーダたち売られるんだな しかし","Are you going to sell us though?"
"Dn/00/02/401.dat","379","Silver Coda","しかし 飯がもらえるなら
気にしないんだな しかし","Don’t worry about it as long as you
buy food afterwards though."
"Dn/00/02/401.dat","383","Gold Coda","それもそうなんだな しかし","That’s also right though."
"Dn/00/02/401.dat","387","Ruca","うぅ…
頭痛くなってきた……","Ugh... I’m getting a headache..."
"Dn/00/02/401.dat","390","Ruca","それになんだか…気が遠く……","This is kinda... uncanny..."
"Dn/00/02/701.dat","30","Ruca","ふぅ… これで半分くらいは進んだかな？","I think I’m almost halfway there...?"
"Dn/00/02/701.dat","35","Ruca","…………{variable}ふふ！
でも 僕も意外にやれるよな！","Haha, but... to think that I can actually do it!"
"Dn/00/02/701.dat","41","Ruca","あはは！
我こそは センサスの将アスラであ～る！
全軍突撃～ッ！","Yes! I am Sensus’ General 
Asura! All units, CHAAARGE!!"
"Dn/00/02/701.dat","51","Ruca","な～んてね","Just kidding～!"
"Dn/00/02/701.dat","70","Ruca","う… なんだ… なんなんだ
これ…","Huh? Ugh... Wh-What’s happening?"
"Dn/00/02/710.dat","29","Ruca","イナ…　ンナ…？
あのキレイな女の人…","I-Inanna...? 
That pretty woman...?"
"Dn/00/02/710.dat","39","Ruca","ハァ～！ どうして急にこんな…
だから いつも ボ～ッとしてるなんて
いわれるんだ！","Why did I suddenly...?
Oh, this is why people say that
I’m always daydreaming!"
"Dn/00/02/710.dat","44","Ruca","さッ！ 早く行こうっと！","Well, I guess I should hurry!"
"Dn/00/03/000.dat","0","","テスト","Test"
"Dn/00/03/001.dat","0","","テスト","Test"
"Dn/00/03/002.dat","0","","テスト","Test"
"Dn/00/03/003.dat","0","","テスト","Test"
"Dn/00/03/004.dat","0","","テスト","Test"
"Dn/00/03/005.dat","0","","テスト","Test"
"Dn/00/03/006.dat","0","","テスト","Test"
"Dn/00/03/007.dat","0","","テスト","Test"
"Dn/00/03/010.dat","0","","テスト","Test"
"Dn/00/03/011.dat","0","","テスト","Test"
"Dn/00/03/401.dat","18","Illia","ちょっと なんなのよアレ！","Hold on a sec, what’s that?!"
"Dn/00/03/401.dat","21","Ange","あれが…","That is..."
"Dn/00/03/401.dat","24","Ricardo","話に聞いた「見たこともない魔物」か
確かに この辺りでは見かけないな","It seems like the rumours about a “never-before-
seen monsters” are actually true."
"Dn/00/03/401.dat","27","Kongwei","この魔物… もしかして…","This monster... could it be..."
"Dn/00/03/401.dat","30","Ruca","来るよ！","Here it comes!"
"Dn/00/03/401.dat","55","","魔物が消えた跡から 入れ歯を見つけた！","You found the old man’s dentures where the 
monster had been!"
"Dn/00/03/402.dat","18","QQ","居た！","There it is!"
"Dn/00/03/402.dat","21","Kongwei","やはり この魔物……","As I thought, this monster..."
"Dn/00/03/402.dat","24","Illia","来るわ！","Here it comes!"
"Dn/00/03/402.dat","77","","魔物が消えた跡から 入れ歯を見つけた！","You found the old man’s dentures where the 
monster had been!"
"Dn/00/03/402.dat","81","QQ","勝った！
みんな ありがと！","We won! Good job everyone!"
"Dn/00/03/402.dat","84","Spada","今ので２体目か","So that’s make it the second one now."
"Dn/00/03/402.dat","88","Ange","無事 倒せたのは良いけど
あと何体いるのかしら？","Thank Cielo, we managed to defeat this one 
without much trouble, but how many are there 
really?"
"Dn/00/03/402.dat","92","Kongwei","ごめん
それはボクにも わからないんだ","My apologies, even I cannot answer that."
"Dn/00/03/402.dat","98","Illia","うえー… 先 長そう…","Huuh... I guess we still have a long way to go..."
"Dn/00/03/402.dat","101","Ruca","そろそろ おじいさんに
入れ歯を届けに行こうか
きっと おじいさんも 待ってると思うし","It’s about time we bring back that grandpa’s
dentures back to him, I wouldn’t want to 
make him wait."
"Dn/00/03/403.dat","18","QQ","居た！","There it is!"
"Dn/00/03/403.dat","21","Kongwei","やれやれ… 思った通りか…","Oh... Just as we expected..."
"Dn/00/03/403.dat","24","Spada","来るぜ！","Here it comes!"
"Dn/00/03/403.dat","55","","魔物が消えた跡から 入れ歯を見つけた！","You found the old man’s dentures where the 
monster had been!"
"Dn/00/03/403.dat","58","Ruca","これでこの場所は もう大丈夫だね","Well, seems like this place is safe now."
"Dn/00/03/403.dat","62","Kongwei","それじゃあ
おじいさんに入れ歯を届けに行こうか
きっと おじいさんも 待ってると思うしね","Now, let us bring back that old man’s 
dentures to him? He is probably already 
waiting for us."
"Dn/00/03/411.dat","53","","………………………","..."
"Dn/00/03/411.dat","58","Ruca","ねぇ 今なにか聞こえなかった？","Did anyone hear that?"
"Dn/00/03/411.dat","62","Illia","なにも聞こえなかったけど？","I didn’t, you probably misheard something."
"Dn/00/03/411.dat","67","Ruca","ううん… 聞こえた こっち！","No... I can hear it... it’s over here!"
"Dn/00/03/411.dat","98","Ruca","剣…？","A sword?"
"Dn/00/03/411.dat","136","Spada","なぁ もしかして
これがバルカンの武器じゃねェのか？","Could this be one of Vulcan’s swords?"
"Dn/00/03/411.dat","140","Ricardo","一度バルカンに
確認してもらったほうが いいだろうな","If it is, then I believe it would be best to have 
Vulcan examine it."
"Dn/00/03/411.dat","144","Ruca","そうだね バルカンさんのところに行こう","Right, let’s take this back to him."
"Dn/00/03/711.dat","40","Eddie","おっせえぞ ガリ勉！
なにやってんだよ！","What took you so long, nerd?"
"Dn/00/03/711.dat","45","Nino","でもまあ ここまでひとりで来れたんだ
ルカも 一応儀式完了ってことで
いいんじゃねーの？","Hey, cut him some slack. He still managed 
to get here alone, I say that’s enough for 
him to pass our trial."
"Dn/00/03/711.dat","51","Eddie","ん～… そういうことだな！ じゃあガリ勉！
ここまで付き合った 友達がいのある
オレたちに ホットドッグおごりだな！","Hmm... I guess that does it! Now listen, nerd, 
since you’re with us now you gotta treat us 
to some hotdogs!"
"Dn/00/03/711.dat","57","Ruca","え？ ホットドッグって…
それじゃ…","Huh? “Hotdogs”...?"
"Dn/00/03/711.dat","62","Nino","そうそう！
友達がいのある オレたちに
ホットドッグおごりだな！","Right, exactly! Now that we’re friends, 
you gotta treat us to some hotdogs!"
"Dn/00/03/711.dat","67","Eddie","ホットドッグは 道具屋の前の屋台で
売ってるやつじゃないと ダメだぞ！","And if it’s hotdogs, they gotta be from 
the cart in front of the item shop!"
"Dn/00/03/711.dat","73","Nino","あそこのホットドッグは
街一番だもんな～","The hotdogs there are the best!"
"Dn/00/03/711.dat","79","Eddie","じゃあ ルカ 早く買って来いよ！
オレたち いつもの場所で
待ってるからな！","You gotta hurry up and buy some, Ruca! 
We’ll be waiting at our usual spot."
"Dn/00/03/711.dat","102","Ruca","道具屋の前の屋台の ホットドッグ？
そりゃ確かに あそこのは街一番だけど…
なにが ホットドッグの刑だよ","The one in front of the item shop...?
Well, that’s definitely the best one in town, but...
this feels more like a punishment."
"Dn/00/03/711.dat","107","Ruca","結局 どっちにせよ
僕の おごりになるんじゃないか
ハァ～… もう しょうがないなァ…","Either way, I’m probably going to end up
treating them anyway... I suppose it can’t
be helped."
"Dn/00/03/711.dat","113","Ruca","街に戻って さっさと
ホットドッグ 買いに行こっと","I should hurry back to town 
and buy them their hotdogs."
"Dn/01/00/700.dat","66","Ruca","ねえ アニーミさん
聖都ナーオスって
この峠の先で 合ってるよね？","Say, Miss Animi. 
Naohs is just right after this pass, right?"
"Dn/01/00/700.dat","75","Illia","あんたも 知らないの？","You don’t know?"
"Dn/01/00/700.dat","81","Ruca","ええ！？ あんた「も」って…
アニーミさんが
知ってるもんだと 思ってたんだけど…","I thought you knew..."
"Dn/01/00/700.dat","87","Illia","ええ～
あんたも 詳しくないの？
もォ～ 頼りにしてたのに！","What? So, you don’t know either?
Sheesh, I was counting on you for that..."
"Dn/01/00/700.dat","94","Ruca","そんなぁ
目的地 決めたの自分じゃないか…","No way. You’re the one that decided 
to go there anyway."
"Dn/01/00/700.dat","102","Coda","あ… 誰か来たんだな しかし","Oh, someone’s coming though."
"Dn/01/00/700.dat","108","Illia","ラッキー！
通行人はっけーん！
ナーオスのこと 聞いてみましょ","Ooooh lucky～!
Let’s go ask them about Naohs."
"Dn/01/00/700.dat","139","Illia","すみませ～ん！
聖都ナーオスって この峠の先ですか？","Excuse me!
Is Naohs right after this pass?"
"Dn/01/00/700.dat","145","Old Man","ああ 峠を越えて 南東をすぐさ
私たちは ナーオスから来たんでね
…それで王都は こっちでいいのかい？","Yep, just head southeast after crossing this pass.
We came from Naohs, you see. 
Is the Royal Capital right after this?"
"Dn/01/00/700.dat","150","Illia","はい あたしたちは王都から来たんです
王都は まだ少し遠いですけど","Yeah! We came from the Royal Capital. 
It’s still a ways off from here though."
"Dn/01/00/700.dat","156","Old Man","いやいや 教団へ入信出来るのなら
こんな苦労 大したことはないよ","It’ll be fine. This won’t be a big thing 
once we reach the Church anyway."
"Dn/01/00/700.dat","161","Ruca","教団に…？","The Church?"
"Dn/01/00/700.dat","167","Old Man","そうさ 教団の信者になれば
これから 創造される楽園に
連れて行ってもらうことも できる…","Yes. If you become a member of the Church, 
you’ll be able to join them into the 
utopia they’ll create."
"Dn/01/00/700.dat","172","Old Man","大主天マティウスさまは
異能の者であれ 罪人であれ
どんな人間でも 守ってくれるそうだよ","The Great Cielan Mattheus will protect anyone,
be they a sinner or a Deviant."
"Dn/01/00/700.dat","179","Ruca","異能の者って…
異能者捕縛適応法で
捕まるんじゃないんですか？","Aren’t Deviants being hunted by the
Deviant Reformation Act?"
"Dn/01/00/700.dat","184","Old Man","いや 王都の異能者狩りも
教団には 手出しできないらしい","No, I heard that even the kingdom’s hunters 
can’t lay their hands on the Church."
"Dn/01/00/700.dat","189","Old Man","だから 異能者の中には 助けを求めて
自ら進んで 教団に
入信する人も 多いそうだよ","That’s why there are a lot of Deviants who
voluntarily join the Church in search of safety."
"Dn/01/00/700.dat","196","Old Man","そう聞いて 入信のために
聖都ナーオスに 寄ったんだがね
あることが起こって それが…","After hearing about that, one came to Naohs in 
search of more believers. 
Ever since that happened..."
"Dn/01/00/700.dat","201","Ruca","「{variable}あること」って…？","“That”...?"
"Dn/01/00/700.dat","206","Old Man","ああ いやいや まあ…
ナーオスに行けば わかるさ
さて 王都まで もうひと頑張りするか","Ah, nothing. You’ll know when you get there. 
Now then, I’ll have to hang on a bit further 
until the Capital."
"Dn/01/00/700.dat","233","Old Man","ああ そうそう
この先の吊り橋が 落ちとったので
遠まわりせんといかんが 気をつけてな","I almost forgot, the suspension bridge broke down 
so you both will have to take a detour up the 
mountain. Take care now."
"Dn/01/00/700.dat","243","Illia","は～い
ご親切に どうもぉ！","Sure! Thanks, gramps!"
"Dn/01/00/700.dat","271","Ruca","なんだか マティウスって
評判いいみたいだね
ねえ アニーミさん","It seems Mattheus has a good reputation, doesn’t 
she, Miss Animi?
"
"Dn/01/00/700.dat","277","Illia","う～ん…","Hm..."
"Dn/01/00/700.dat","282","Ruca","どうかしたの？
アニー…","Is something wrong? Miss A--"
"Dn/01/00/700.dat","288","Illia","その呼び方！","Stop calling me that!"
"Dn/01/00/700.dat","294","Ruca","…{variable}ミ…さ…ん って
え なに？ 呼び方？","--nimi... what? Huh, I’m sorry?"
"Dn/01/00/700.dat","298","Illia","そう あたしのことは
イリアで いいってば
初対面で呼び捨てにされると ムカツクけどさ","Just call me Illia, okay? Though it kinda 
pisses me off when someone does that 
right off the bat."
"Dn/01/00/700.dat","302","Illia","あんた 礼儀もそれなりだし
悪いヤツでもないし
付き合いだって 長くなりそうだもん","But you’re polite and it’s not like you’re some kind
of bad guy. Besides, I’ve been with you for
a little while now."
"Dn/01/00/700.dat","306","Ruca","はあ… え… と…
じゃあ イリア………………さん？","Oh well, then... Miss Illia?"
"Dn/01/00/700.dat","311","Illia","緊張しなくていいってば！
あたしは イ・リ・ア
呼び捨てで いいから","It’s fine, don’t be so nervous!
Just call me Illia!
"
"Dn/01/00/700.dat","316","Ruca","う… うん
わかったよ イリア","Oh... okay, Illia."
"Dn/01/00/700.dat","322","Coda","コーダは コーダでいい","Coda is fine for Coda."
"Dn/01/00/700.dat","330","Ruca","ははは わかったよ
うん コーダ… だね","Got it.
Coda, right?"
"Dn/01/00/700.dat","335","Illia","それで よーし！
じゃ さっさとこの峠 越えちゃいましょ","Much better. Now let’s get out of here."
"Dn/01/01/401.dat","61","???","まて！ お前たち！","Hold it right there!"
"Dn/01/01/401.dat","81","Illia","だ 誰っ！？","W-who’s there?"
"Dn/01/01/401.dat","88","Believer Red","燃え盛る炎の赤！
シンジャーレーーッドォ！！","Fire that blazes so brightly! 
Believer Red!"
"Dn/01/01/401.dat","94","Believer Blue","流れる水の青！
シンジャーブルーーーゥ！！","Water that flows so azurely! 
Believer Blue!"
"Dn/01/01/401.dat","100","Believer Yellow","揺るがぬ大地の黄！
シンジャーイエローーォ！！","Ground that tremors so strongly! 
Believer Yellow!"
"Dn/01/01/401.dat","106","Believer Green","吹き抜ける風の緑！
シンジャーグリーーィン！！","And the wind that blows across 
the plains! Believer Green!"
"Dn/01/01/401.dat","115","Believer Five","我ら シンジャーファイブ！","We are the Five Believers!"
"Dn/01/01/401.dat","119","Spada","な なんだぁアレ？","Who the hell?"
"Dn/01/01/401.dat","122","Ruca","追っ手…なのかな？","Maybe they’re after us?"
"Dn/01/01/401.dat","127","Believer Red","追っ手ではない！
我らは正義の味方だ！","We’re not after you! We are the allies of justice!"
"Dn/01/01/401.dat","132","Illia","っていうか ファイブとか言って
４人しかいないじゃない","Anyways, you said you were the five believers,
but I only count 4?"
"Dn/01/01/401.dat","135","Coda","ひとり足りないんだな しかし","You’re missing one though."
"Dn/01/01/401.dat","142","Believer Red","それは属性とか 募集中だとかいろいろ…","We’re still recruiting that one..."
"Dn/01/01/401.dat","147","Believer Red","ええい！ とにかく
転生者研究所に戻ってもらうぞ！","ANYWAYS, we’ll have to get you lot back to the 
Reincarnator Research Laboratory!"
"Dn/01/01/401.dat","151","Spada","やっぱり追っ手なんじゃねェか","So you ARE after us."
"Dn/01/01/401.dat","158","Believer Red","うるさい！
いけっ！ みんな！","Shut up! Everyone, charge!"
"Dn/01/01/401.dat","165","Believer Blue","いやいや まずはお前が行けよ","No, you go first."
"Dn/01/01/401.dat","169","Believer Green","そうだそうだ","Yes, you should go first!"
"Dn/01/01/401.dat","175","Believer Red","いや…
オレ高いところ苦手で
吊り橋とかダメなんだよ","No, I’m really bad at high places so I can’t handle 
suspension bridges."
"Dn/01/01/401.dat","180","Believer Blue","俺だって得意じゃねぇよ","Hey, I can’t handle high places too."
"Dn/01/01/401.dat","184","Believer Green","そうだそうだ","Yes I can’t either!"
"Dn/01/01/401.dat","189","Believer Red","じゃ じゃあ イエロ……","Then... How about you, Yellow?"
"Dn/01/01/401.dat","194","Believer Yellow","ハヤシライスが食べたいんだな","I really want to eat hashed beef rice right now..."
"Dn/01/01/401.dat","198","Coda","そこはカレーじゃないのか？ しかし","Isn’t that just curry?"
"Dn/01/01/401.dat","211","Believer Red","よーし！
お前たちまずはこっちにきて
話をつけようじゃないか！","Right! First of all, you lot come here and 
let’s continue our conversation!"
"Dn/01/01/401.dat","216","Illia","付き合ってらんないわ","No, I don’t want to."
"Dn/01/01/401.dat","219","Spada","だな
行こうぜ ルカ","Yeah, right. Let’s go, Ruca."
"Dn/01/01/401.dat","222","Ruca","う うん","O-okay."
"Dn/01/01/401.dat","229","Coda","しかし またな","See ya."
"Dn/01/01/401.dat","240","Believer Red","あ まてお前たち！","H-hey, wait!"
"Dn/01/01/401.dat","244","Believer Red","よ よーし
やってやる やってやんよぉ！","O-okay. Let’s go after them. L-lets..."
"Dn/01/01/401.dat","259","Believer Blue","じゃあ後は任せた
俺たち先帰るわ","Good luck with that. We’re going back."
"Dn/01/01/401.dat","270","Believer Red","ま まてオレを置いていくな！","H-hey, don’t leave me behind!"
"Dn/01/01/401.dat","276","Believer Red","はっ！ 下を見てしまった！
こ 怖いーーっ！","Crap, I looked down! S-scary!"
"Dn/01/01/701.dat","47","Ruca","………………
{variable}ふふふ！","Heheheh～!"
"Dn/01/01/701.dat","59","Illia","なに 気持ち悪いわね
ニヤニヤしちゃって","Eww... what’s with the creepy laugh 
all of a sudden?"
"Dn/01/01/701.dat","66","Ruca","僕が 魔物を相手に戦える…
自分に こんな力があったなんて！
なんだか 嬉しいんだ","To think that I’ve always had the power to fight 
monsters sleeping within me!"
"Dn/01/01/701.dat","72","Ruca","すごいや！ 夢の中のアスラの力
本当に 僕の力なんだ","Knowing that Asura’s strength is actually my own.
It feels like a dream come true!"
"Dn/01/01/701.dat","78","Illia","でも その力は 他の人たちから見れば
異能者の力
バレたら 捕まるのよ","Aren’t Deviants being hunted by 
the Deviant Reformation Act? 
They’ll arrest you if you get caught."
"Dn/01/01/701.dat","83","Ruca","う… うん そうだね…
でも ついワクワクしちゃうんだ
ずっと憧れてたから 夢の中のアスラに","True... but still! Just the thought of it excites me. 
Because I’ve always looked up to Asura. "
"Dn/01/01/701.dat","88","Ruca","あんな風に強く…
カッコ良くなれたら いいなって","He seemed so strong, I always wanted 
to be cool just like him."
"Dn/01/01/701.dat","94","Illia","だからって 人前で
ハデに 使ったりしないでよ","Even so, you still have to make sure 
not to use your power in front of others."
"Dn/01/01/701.dat","100","Ruca","うん… そうか…
でも じゃあエディとニーノは
僕の力のこと どう思っただろう","You’re right... but, I wonder what Eddie 
and Nino thought of my power? "
"Dn/01/01/701.dat","106","Ruca","家は どうなってるのかな…
父さんと 母さんは…","I wonder how they’re doing back home? 
Mom and Dad must be--"
"Dn/01/01/701.dat","111","Illia","いい？ あたしたちが異能者だってことが
バレたら 教団だけじゃなく
軍からも 追われるんだからね","Listen, not only the church, but the army 
will be chasing after us once they find out
we’re Deviants."
"Dn/01/01/701.dat","116","Ruca","う… うん わかったよ","Yes... I understand."
"Dn/01/01/701.dat","122","???","ははははは！
もう その心配は無用だ","Hahahahaha!
No need to worry about that."
"Dn/01/01/701.dat","135","Illia","え…？","Huh...?"
"Dn/01/01/701.dat","154","Grigori Soldier A","なぜなら おまえたちは
今ここで その軍に捕まるのだからな","Because, from now on, you are
under arrest by the Army."
"Dn/01/01/701.dat","161","Illia","あんたたち 何者よ！","Who are you?"
"Dn/01/01/701.dat","167","Grigori Soldier B","おまえたち 王都で暴れていた連中だな？
異能者… いや転生者よ おまえたち２名！
異能者捕縛適応法により 逮捕する！","You were the ones who caused trouble in the 
capital, aren’t you? Deviants... no, Reincarnators!
You two are under arrest!"
"Dn/01/01/701.dat","173","Coda","２名？
じゃあ しかし コーダは？
コーダは しかし？","Two? Then what about Coda?
What about Coda though?"
"Dn/01/01/701.dat","184","Ruca","捕まってたまるか！
僕の力を 知らないな！","Like I’d let you catch us!
You have no idea about my power!"
"Dn/01/01/701.dat","193","Ruca","…{variable}って あれッ！？
力が出ない？ いつもの僕だ！","Huh...? I can’t use my power?!"
"Dn/01/01/701.dat","203","Illia","そんな！ どうして！？
天術が… 使えない！","We have the power to seal Cielan Artes, 
now, hand yourself over!"
"Dn/01/01/701.dat","215","Grigori Soldier A","天術を封じるなど
我々にとっては 初歩の技
さあ 転生者研究所に連行する！！","We have the power to seal Cielan Artes, now, 
hand yourself over!"
"Dn/01/01/701.dat","220","Ruca","そ… そんなぁ…","No way..."
"Dn/01/01/701.dat","245","Grigori Soldier B","おい この生き物はどうする？","Hey, what do we do about this thing?"
"Dn/01/01/701.dat","253","Coda","し… しかし～！","Though...!"
"Dn/01/01/701.dat","259","Grigori Soldier A","とりあえず 連れて行け！","For now, let’s take it with us."
"Dn/01/04/710.dat","23","Ruca","ふぅ……
ちょっと 手ごわかったかな…","That was tough..."
"Dn/01/04/710.dat","26","Spada","おい ルカ…
今の太刀筋 ちょっとアスラっぽくて
悪くなかったぜ","Not bad, Ruca, your sword fighting just now 
was exactly like Asura’s."
"Dn/01/04/710.dat","29","Ruca","ホントに…？
ホントに そう思う？","Really? Do you really think so?"
"Dn/01/04/710.dat","32","Spada","オレを 誰だと思ってんだよ
おまえの… アスラの太刀筋は
誰よりも 知ってるんだぜ","Who do you think I am? Anyone can recognize 
your-- Asura’s sword style."
"Dn/01/04/710.dat","35","Ruca","…………{variable}うん
ありがと","Thank you!"
"Dn/01/04/710.dat","38","Illia","はいはい お熱い友情ゴッコは
そこまで
さっさと 先を急ぐわよ","Aight, you lovebirds, that’s enough.
Time to get movin’."
"Dn/01/04/710.dat","46","Spada","なんだよ
話に混ぜて もらえないからって
スネるなよ","Just because we’re having a moment here
doesn’t mean that you can go ahead and sulk."
"Dn/01/04/710.dat","49","Illia","スネてなんかいないってば
時間が もったいないだけ
ほら 行きましょ","I’m not sulking!
It’s just that we don’t have much time.
Let’s get movin’ already."
"Dn/01/04/720.dat","84","Ruca","どうしたの イリア？","What’s up, Illia?"
"Dn/01/04/720.dat","88","Illia","なんだか ここって
空気が 乾いてるせいか
鼻がムズムズするのよね… ハ… ハ…","Ugh, the air here’s dryer than last time. 
My nose feels itchy... A- a-"
"Dn/01/04/720.dat","98","Illia","ハクション！
ハクションッ！！","Achoo! 
Achoo!"
"Dn/01/04/720.dat","145","Hasta","呼ばれてないのに
ジャジャジャジャーン！！","I Hasta arrived～!! 
DUN DUN DUN DUN!!!!"
"Dn/01/04/720.dat","156","Hasta","くっしゃみ ふたつで呼ばれたからにゃ
それがハスタの
ターゲットさまよぉーっと！","Called twice by Hasta’s 
taaaaaargets, meow～!!"
"Dn/01/04/720.dat","176","Illia","あんたなんか
呼んでないわよ！","I DID NOT CALL YOU!"
"Dn/01/04/720.dat","183","Ange","あら イリア
この方 お知り合い？","Oh, Illia, do you know this person?"
"Dn/01/04/720.dat","190","Illia","こんなヤツ お知り合いに
なりたくてなったわけじゃないわよ！","I wish I didn’t know him!"
"Dn/01/04/720.dat","195","Illia","声 聞いただけで 寒気がするんだから！","Even hearing his voice gives 
me goosebumps, eugh!"
"Dn/01/04/720.dat","214","Ricardo","こいつの名は ハスタ・エクステルミ
他人を殺めることを 自らの楽しみとする
傭兵の面汚しだ","This man is Hasta Ekstremi. He’s someone who
hurts others for fun, a pathetic excuse of
a mercenary."
"Dn/01/04/720.dat","219","Ricardo","西の戦場で 俺の元から
逃げ出して以来 なにをしていた？
そして今 なにをしに 現れた？","What have you been up to since I chased 
you away from the Western Battlefield?
And why are you showing yourself now?"
"Dn/01/04/720.dat","233","Hasta","はい そこ！
うるさいので バケツをかぶって
廊下に 立ってなさいでごじゃるよ！","You there! Put on a bucket and stand in the
hallway!
I will not have you being noisy in my class!"
"Dn/01/04/720.dat","238","Hasta","レグヌムの枢密院から 依頼を受けて
皆さんを皆殺しに 来ました！
来て差し上げたで ごじゃるよ！","I have accepted a request from the Privy Council
to massacre and offer all. Of. Your. Heads～"
"Dn/01/04/720.dat","243","Ricardo","枢密院からの依頼だと…？
フン… 貴様には 守秘義務という
概念はないのか ハスタ？","A request from the Privy Council, you say...? 
You dumbass... Do you even understand the 
concept of confidentiality?"
"Dn/01/04/720.dat","249","Hasta","フン… 貴様には あえて秘密を漏らすことで
口封じのモチベーションを 高めるという
概念はないのか リカルド先生？","How about you, Professor Ricardo? Do YOU
have any motivation to improve on your bad habit
of telling other people’s unnecessary secrets?"
"Dn/01/04/720.dat","261","Kongwei","あの長槍と あの容姿…
彼が「魔槍の刺客」か…","That spear as well as that appearance... 
So he’s the “Spear-wielding Fiend”...!"
"Dn/01/04/720.dat","274","Hasta","場も温まって まいりましたところで","Oh～! This scene has become quite hot～"
"Dn/01/04/720.dat","285","Hasta","では ハスタ行きま～す！","Well then, Hasta diving in～!!"
"Dn/01/04/730.dat","96","Hasta","クソ… ターゲットは
逃亡した転生者 ひとりだと…
話が違うじゃねぇか…","Boo... They said that the target was alone... 
This wasn’t what they told me..."
