"Names","","","","","","Legend","","","","",""
"Japanese Term","Shortened form","English Translation","x","Banned","Acceptable/Alternatives","Finished","Ready for copy-pasting","Problem","Review","Big problem","Nothing"
"イナンナ","","Inanna","Red haired chick who’s always with Asura, Illia’s past life","","Hahh... Hahh... Hahh...","panting","","","","",""
"デュランダル","","Durandal","Huge yellow espada, Spada’s past self","","Nrgh","","","","","",""
"ヒュプノス","","Hypnos","Edgy white hood guy from the prologue, Ricardo’s past self","","Huff","","","","","",""
"オリフィエル","","Orifiel","Himmel’s educator, he’s a strategist who initially worked against Asura but eventually defected into
Sensus.","","","","","","","",""
"ブリトラ","","Vritra","huge yellow dragon, speaks like an old lady because she is one. Asura’s dear mother.","","Lore connected cuss words","","","","","",""
"ばあや","","Mummy","How asura calls Vritra as","","","","","","","",""
"サクヤ","","Sakuya","Has some scenes in past life skits as well as in the sky castle","","Cielo’s butt","","","","","",""
"ゲイボルグ","","Gaebolg","Evil cray cray spear, eventually becomes Hasta","","","","","","","",""
"タナトス","","Thanatos","Hypnos’ older brother, is actually Gardle","","","","","","","",""
"ヒンメル","","Himmel","Orifiel’s student, is Albert","","","","","","","",""
"ケルベロス","","Cerberus","I want a stuffed toy of the doggo","","","","","","","",""
"バルカン","","Vulcan","Durandal no papa, appears in Muse village
He uses you fellas/folks when addressing people.","","","","","","","",""
"エディ","","Eddie","Ruca’s friend the fat one","","","","","","","",""
"ニーノ","","Nino","Ruca’s friend the tall one","","","","Eboot","gamecart dump","normal dec pkgj","vitashell extract",""
"ガエタノ","","Gaetano","Hermana’s li’l bro","","","","raw","","","",""
"ミケール","","Michelle","Hermana’s li’l sis","","","","dec","","","",""
"用心棒","","bodyguard","The red demon guy who looks over Michelle and Gaetano","","","","","","","",""
"商店主","","shopkeeper","Appears in Regnum, minor antagonist","","","","L7C","gamecart dump","normal dec pkgj","vitashell extract",""
"ポゥじいさん","","Grandpwo","Old man in Galpos jungle","","","","raw (1GB+)","","","","not allowed coz file size"
"ハルトマン","","Hartman","Appears in Naohs","","","","dec (54mb)","","","",""
"アンジュの兄","","Ange’s Brother","Appears in Western Front, for Vulcan’s sidequest","","","","","","","",""
"セレーナ牧師","","Pastor Serena","Refers to Ange’s brother.","","","","","","","",""
"イリアのママ","","Illia’s Mama","Sania village","","","","","","","",""
"イリアのパパ","","Illia’s Papa","","","","","","","","",""
"ロス","","Rose","mentioned by Illia’s Papa","","","","","","","",""
"モニカ","","Monica","","","","","","","","",""
"ガンタ","","Gunther","","","","","","","","",""
"ジロチョウ","","Village Elder","Appears in Ashihara","","","","","","","",""
"バーナード","","Bernard","Appears in Regnum","","","","","","","",""
"ダリル","","Daryll","Appears in Regnum upper district","","","","","","","",""
"枢密院","","Privy Council","The hidden council in Naraka (current time)","","","","","","","",""
"元老院","","Senate","The upper echelon in Devaloka (past life)","","","","","","","",""
"雇い主","","Employer","What Ricardo to Ange as","","","","","","","",""
"大主天","","Great Cielan","was great deva before","","","","","","","",""
"猛将","","Great General/General","title for Asura","","","","","","","",""
"王都兵","","Imperial Soldier","","","","","","","","",""
"王都軍","","Imperial Army","","","","","","","","",""
"王都軍指揮官","","Imperial Army Commander","","","","","","","","",""
"行商人","","Peddler","Can aslo be traveller","","","","","","","",""
"怪しい商人","","Suspicious Peddler","","","","","","","","",""
"<name>が仲間になった！","","<name> has joined your party","","","","","","","","",""
"Terminology","","","","","","","","","","",""
"Japanese Term","Shortened form","English Translation","Remarks","","","","","","","",""
"異能者捕縛適応法","","Compulsary Fallen Rehabilitation Program
NEW TERM: Deviant Reformation Act","A law developed to hunt down Reincarnators in order to be used in the war","","","","","","","",""
"転生者","","Reincarnator","a person who remembers their past lives through dreams and can use their past life’s power","","","","","","","",""
"異能者","","The Fallen
NEW TERM The Deviant","More derogatory term for the group of people who have been reincarnated","","","","","","","",""
"無恵","","The Fall
NEW TERM The Fracture","The inability of the church to use Cielan Artes. caused by the destruction of devaloka","","","","","","","",""
"創世力","","the manifest
NEW TERM Genesis","The power of creation. Power that mattheus is trying to obtain. (Can we change this to the Genesis Force?)","","","","","","","",""
"天上人","","Cielan","A term for those who live in Cielo","","","","","","","",""
"地上人","","Terran","A term for those who live in Terro","","","","","","","",""
"信仰","","Faith","","","","","","","","",""
"信者","","Believer","in an ng+ sidequest, can also be シンジャー ","","","","","","","",""
"教団","","Church","antagonist group","","","","","","","",""
"天術","","Cielan Artes (special type of artes)","this is for heavenly artes not normal artes","","","","","","","",""
"ミュース","","Muse","Coda’s family","","","","","","","",""
"無垢なる絆","","Innocent bonds","bonds becoming innocent","","","","","","","",""
"ゲート","","Gate","","","","","","","","",""
"記憶の場","","Memory Circle
NEW TERM Memory Spring","partially. keep memory, replace circle. Font of Remembrance? Nostalgia Central?","","","","","","","",""
"記憶陣","","Save Point","Different than the memory circle, it’s only there in a few tutorial about where to save the game","","","","","","","",""
"現世","","current life","","","","","","","","",""
"前世","","Past life","","","","","","","","",""
"聖女","","Saintess","Reference the Ange","","","","","","","",""
"魂","","Soul","","","","","","","","",""
"死神","","Reaper","does this have to be replaced?","","","","","","","",""
"王都","","Imperial","Term for those allied with Regnum","","","","","","","",""
"天上界崩壊の力","","","","","","","","","","",""
"","","Guerilla","Strategy used by Garam soldiers in the western front","","","","","","","",""
"天空神","","Celestial","or Heavenly God how does Himmel the Celestial Sound?","","","","","","","",""
"新兵器","","Robot","probably. Either that or automaton","","","","","","","",""
"始祖の巨人","","Primordial Giant","might be too long","","","","","","","",""
"始祖の巨人の意志","","Will of the Primordial Giant","","","","","","","","",""
"魔王","","Demon King","","","","","","","","",""
"楽園","","Utopia","took from ""seek utopia"" which was what the privy council use","","","","","","","",""
"楽園を求めて！","","Seek Utopia","lol","","","","","","","",""
"魂の救済者","","Saviour of Souls","","","","","","","","",""
"Japanese Term","Shortened form","English Translation","Remarks","","","","","","","",""
"天上界","","Cielo","Gotta mass replace the old a0t translation","","","","","","","",""
"地上","","Terro","Gotta mass replace the old a0t translation","","","","","","","",""
"フルフィの森","Fluffy Forest","","","","","","","","","",""
"レグヌム峠","Regnum Pass","","","","","","","","","",""
"転生者研究所","Reincarnator Research Laboratory","","","","","","","","","",""
"西の戦場","Western Front","","","","","","","","","",""
"憂いの森","Forest of Sorrow","","","","","","","","","",""
"ナーオス基地","Naohs Base","","","","","","","","","",""
"レグヌム鍾乳洞","Regnum Limestone Cave","","","","","","","","","",""
"商店主の屋敷","Shopkeeper’s Mansion","","","","","","","","","",""
"アシハラ王墓","Ashihara Royal Tomb","","","","","","","","","",""
"カリュプス鉱山","Calypso Mine","","","","","","","","","",""
"ケルム火山","Kelm's Volcano","","","","","","","","","",""
"異界の狭間ニーゲル","Otherwordly Ravine: Nirgal","","","","","","","","","",""
"戦艦ラヴェンデル","Battleship Lavendel","","","","","","","","","",""
"ガルポス果樹園","Galpos Orchard","","","","","","","","","",""
"ガルポスジャングル","Galpos Jungle","","","","","","","","","",""
"レムレース湿原","Lemures Marsh","","","","","","","","","",""
"北の戦場","Northern Front","","","","","","","","","",""
"神待ちの園","Celestial Garden","","","","","","","","","",""
"テノス兵器工場","Tenos Arms-Factory","","previously Ashihara King’s Tomb","","","","","","","",""
"飛行船ウェントス","Airship Ventus","","","","","","","","","",""
"天空城","Ciela Castello","","","","","","","","","",""
"魂の巡礼路カルディア","The Soul’s Pilgrimage: Chaldea","","","","","","","","","",""
"黎明の塔","Tower of Dawn","","","","","","","","","",""
"トライバースゲート","Triverse Gate","","","","","","","","","",""
"トライバースゲート","Triverse Gate","","","","","","","","","",""
"フィールド","Field","","","","","","","","","",""
"王都レグヌム","Imperial Capital: Regnum","","","","","","","","","",""
"峠のキャンプ","Camp Peak","","","","","","","","","",""
"聖都ナーオス","The Holy City: Naohs","","","","","","","","","",""
"東の国アシハラ","The Eastern Country: Ashihara","","","","","","","","","",""
"ガラム港","Garam Harbor","","","","","","","","","",""
"西の国ガラム","The Western Country: Garam","","","","","","","","","",""
"南の国ガルポス","The Southern Country: Galpos","","","","","","","","","",""
"グリゴリの里","Grigori’s Hometown","","*former name is Sky Castle","","","","","","","",""
"商業都市マムート","Commercial City: Marmut","","","","","","","","","",""
"補給拠点トート","Stopover Point: Toto","","","","","","","","","",""
"北の国テノス","Northern Country: Tenos","","","","","","","","","",""
"サニア村","Sania Village","","","","","","","","","",""
"ミュース族の里","The Muse Clan’s Hometown","","","","","","","","","",""
"転遷闘技場アキレア","Wandering Arena: Achillea","","","","","","","","","",""
"列車内部","Train Interior","","","","","","","","","",""
"密会場所","Clandestine Meeting","","","","","","","","","",""
"ケルベロスの住処","Cerberus’ Den","","","","","","","","","",""
"天上界の戦場","Cielo’s Battlefield","","","","","","","","","",""
"ヒンメル幽閉場所","Himmel’s Cell","","","","","","","","","",""
"元老院","Senate","","","","","","","","","",""
"レグヌム峠","Regnum Pass","","","","","","","","","",""
"飛行船内部","Airship Interior","","","","","","","","","",""
"バルカンの鍛冶場","Vulcan’s Forge","","","","","","","","","",""
"エルマーナの家","Hermana’s House","","","","","","","","","",""
"アシハラ草原","Ashihara Prairie","","","","","","","","","",""
"サニア砂漠","Sania Desert","","","","","","","","","",""
"船の甲板","Ship’s Deck","","","","","","","","","",""
"倉庫","Warehouse","","","","","","","","","",""
"夜会会場","Evening Party","","","","","","","","","",""
"定期船の甲板","Liner Deck","","","","","","","","","",""
"Short History Pre-Cielo’s Destruction (might not be accurate)","","","","","","","","","","",""
"Primordial Giant creates Cielo and leaves behind the Genesis  (Skit: The Giant’s Wish)
(Few centuries pass)
Vritra is born
Ratio uses the Genesis to exile a portion of Cielans to Terro (Skit: Why were you Protecting the Manifest?)
(another few centuries)
Sentiments against the way Ratio is ruling forms and a band of rebels start to appear
Asura is born
Orifiel is granted the task of raising and teaching Himmel (Himmel, Cielo’s Light)
Inanna’s mother die from Terron hands (Memory in the Sky Castle)
Skirmishes start to take place between Ratio and the rebels
Gaebolg is created (Memory in Kelm's Volcano)
Asura meets Cerberus and asks about the Genesis
Asura forms Sensus from the band of rebels
Orifiel goes to Cerberus to get the Genesis and fails (Orifiel and Cerberus)
Sakuya falls in love with Asura (Memory in the Sky Castle, first pink flower)
Durandal is created (Memory in Kelm's Volcano)
Inanna accepts a mission to assassinate Asura
Inanna defects to Sensus with Durandal
Thanatos falls in love with a Terron
Asura and Durandal meet Gaebolg on the battlefield (Memory circle in Kelm's Volcano)
Asura meets Orifiel
Orifiel starts corresponding with Sensus
Himmel is imprisoned for thoughts that stand against Ratio’s beliefs
Thanatos leaves Ratio
Hypnos is sent to the front lines in replacement of his brother
Himmel dies
Hypnos dies after facing Asura
Asura conquers the Sky Castle
Orifiel kills the Senate after learning of Himmel’s death and joins Sensus
The war continues as Ratio continues to fight Sensus
Inanna Sakuya pandering
Asura conquers Ratio and unites Cielo, eventually obtaining the Genesis and learning how it’s used from Cerberus
Asura asks Orifiel as to how it’s supposed to be used (Memory circle at Galpos)
Inanna contemplates, troubled with what she’s supposed to do
Asura, Durandal, and Inanna gets killed using the Genesis and halfway merging Cielo and Terro
Vritra waits alone in the Sky Castle
Vritra dies after hearing the birth of Asura’s Incarnation","","","","","","","","","","",""
"Hermana Localized words and Equivalents (for reference)","","https://www.alphadictionary.com/articles/southernese.html","","","","","","","","",""
"Localized word","meaning","","","","","","","","","",""
"Awfully (or mighty)","adv. Substitute for very, which can’t be used south of the Mason-Dixon line. Very is avoided in the South. See also mighty.","","","","","","","","","",""
"Ain’t","","","","","","","","","","",""
"Britches","n. Pert much anything worn over the legs: pants, dungarees—trousers? What’s that?","","","","","","","","","",""
"Booger","n. Nose stuffing; a rascal, as in ""Come here, you little booger!""","","","","","","","","","",""
"Y’all","pro. The plural of you.","","","","","","","","","",""
"Ya","you","","","","","","","","","",""
"Yer","your","","","","","","","","","",""
"bout","about","","","","","","","","","",""
"fer","for","","","","","","","","","",""
"an’","and","","","","","","","","","",""
"Sumthin’","n. Something.","","","","","","","","","",""
"Critter","n. Creature, with special preference for animals.","","","","","","","","","",""
"Dinner","n. The meal et around the middle of the day.","","","","","","","","","",""
"Fall off","v. To lose weight:","","","","","","","","","",""
"Fetch","v. Go, get, and bring back.","","","","","","","","","",""
"Fix","n. A mess, trouble","","","","","","","","","",""
"Give out","adj.Exhausted, tard, tuckered out, as coming home from plowing 40 acres plumb give out.","","","","","","","","","",""
"Hafta","v. aux. Modal auxiliary indicating obligation. (Must is a word not found in most Southern dialects).","","","","","","","","","",""
"Holler","v. Talk at the top of your voice","","","","","","","","","",""
"Kilt","a. Past tense of kill","","","","","","","","","",""
"Doohickey","n. A Southern thingamabob.","","","","","","","","","",""
"Howdy","int. Short for ’howdy do’, a common greeting down South.","","","","","","","","","",""
"Everbody","pro. Not excluding anyone.","","","","","","","","","",""
"Edgy-cation","n. Larnin whut gives you a edge in life. ""He got lots of smarts but not much edgy-cation.""","","","","","","","","","",""
"Hafta","v. aux. Modal auxiliary indicating obligation. (Must is a word not found in most Southern dialects).","","","","","","","","","",""
"Mighty","adv. Substitute for very","","","","","","","","","",""
"Plain","a. Somewhat ugly","","","","","","","","","",""
"Puny","a. Weak, sickly,","","","","","","","","","",""
"Reckon","v. Think, figger. ""I reckon he done got too big fer his britches, thinkin he’s a lawyer.""","","","","","","","","","",""
"Recollect","v. Remember","","","","","","","","","",""
"Smack (dab)","a. Precisely,","","","","","","","","","",""
"Supper","n. The meal (supposed to be) et around 5 o’clock","","","","","","","","","",""
"Tarnation","An acceptable substitute in the presence of ladies for ""damnation.""","","","","","","","","","",""
"Wear out","v. Whup, tear up, beat real good as in","","","","","","","","","",""
"Young’n","(See -n) A young thang, a baby.","","","","","","","","","",""
"Yonder","adv. (over here, over there, over yonder)","","","","","","","","","",""
"Dunno","Don’t know ","","","","","","","","","",""
"Ah","I ","","","","","","","","","",""
"Ah’m ","I’m","","","","","","","","","",""
"Ah’ll","I’ll","","","","","","","","","",""
"Jus’","Just","","","","","","","","","",""
"Y’see","You see","","","","","","","","","",""
"S’not","Is not","","","","","","","","","",""
"Inta","into","","","","","","","","","",""
"Don’","Don’t","","","","","","","","","",""
"Fella ","Fellow","","","","","","","","","",""
"Folk","people","","","","","","","","","",""
"Sorta","sort of ","","","","","","","","","",""
"sumbody ","somebody ","","","","","","","","","",""
"sum","some","","","","","","","","","",""
"em","them","","","","","","","","","",""
"Didja","Did you","","","","","","","","","",""
" ’fore","before","","","","","","","","","",""
"mah","my","","","","","","","","","",""
"C’mon","Come on","","","","","","","","","",""
"Don’tcha/Don’tchu","Don’t you","","","","","","","","","",""
"Try’na","Trying to ","","","","","","","","","",""
"a’ight","alright ","","","","","","","","","",""
"shoulda","should of ","","","","","","","","","",""
"lemme","let me ","","","","","","","","","",""
"Young’n","kid","","","","","","","","","",""
"Ah’mma","I’m going to","","","","","","","","","",""
"Y’two","You two","","","","","","","","","",""
"nuff","enough ","","","","","","","","","",""
"Hol’ up","Hold up","","","","","","","","","",""
"lessee ","Lets see","","","","","","","","","",""
"S’not","It is not","","","","","","","","","",""
"Ye’ll","You’ll","","","","","","","","","",""
"Purty","pretty","","","","","","","","","",""
"Menshun","Mention","","","","","","","","","",""
"Lemme ","Let me ","","","","","","","","","",""
"’round","around ","","","","","","","","","",""
"li’l","Little","","","","","","","","","",""
"Spada Slang","","","","","","","","","","",""
"chap","equivalent to fellow","","","","","","","","","",""
"sock","punch","","","","","","","","","",""
"chick","woman/girl","","","","","","","","","",""
"Oi","Hey","","","","","","","","","",""
"ought to","should","","","","","","","","","",""
"Spelling decisions","","","","","","","","","","",""
"Catalog/Catalogue","catalogue","","","","","","","","","",""
"Ricardo terms","","","","","","","","","","",""
"Good grief","","","","","","","","","","",""
"Hmph","","","","","","","","","","",""
"So be it","","","","","","","","","","",""
"Kongwei","","","","","","","","","","",""
"Hoho","laugh","","","","","","","","","",""
"fret","","","","","","","","","","",""
"Illia","","","","","","","","","","",""
"Aight","","","","","","","","","","",""
"gonna","","","","","","","","","","",""
"wanna","","","","","","","","","","",""
"coz","","","","","","","","","","",""
"Y’know","","","","","","","","","","",""
"sec","second","","","","","","","","","",""
"Prolly","","","","","","","","","","",""
"Vritra","","","","","","","","","","",""
"Thou","","","","","","","","","","",""
"art","","","","","","","","","","",""
