"#","Japanese","English"
"126","悩めるおにいさん","Worried Man"
"127","おっちゃん","Mister"
"128","番台","Hot Springs Receptionist"
"129","看板","Billboard"
"130","魔物","Beast"
"131","警備","Guard"
"132","受付","Receptionist"
"133","実況野郎","Announcer"
"134","実況代理","Substitute"
"135","ぷにぷにおねえさん","Bouncy Sister"
"136","ぷにぷにミュース族","Bouncy Muse Clan Member"
"137","ジャンケンマスター","Rock Paper Scissors Master"
"138","連打マスター","Barrage Master"
"139","石取りマスター","Ishitori Master"
"140","会長","Club Leader"
"141","会員番号００２","Club Member #002"
"142","会員番号００３","Club Member #003"
"143","会員番号００４","Club Member #004"
"144","会員番号００５","Club Member #005"
"145","会員番号０１０","Club Member #010"
"146","シンジャーレッド","Believer Red"
"147","シンジャーブルー","Believer Blue"
"148","シンジャーグリーン","Believer Green"
"149","シンジャーイエロー","Believer Yellow"
"150","シンジャーホワイト","Believer White"
"151","シンジャーファイブ","Believer Five"
"152","泉の妖精","Fountain Fairy"
"153","金のコーダ","Gold Coda"
"154","銀のコーダ","Silver Coda"
"155","ナレーション","Narration"
"156","ルカデレラ","Rucarella"
"157","意地悪な姉１","Ill-tempered Sister 1"
"158","意地悪な姉２","Ill-tempered Sister 2"
"159","継母","Stepmother"
"160","王子様","Prince"
"161","側近","Close Aide"
"162","バーナード","Bernard"
"163","ハリー","Harry"
"164","ライナス","Linus"
"165","アントン","Anton"
"166","ダリル","Daryll"
"167","ネコスキー","Cat Lover"
"168","ネコズキー","Cat Lover"
"169","長老ローダ","Clan Elder Roda"
"170","ガーダ","Gada"
"171","ムーダ","Muda"
"172","オーダ","Oda"
"173","クーダ","Kuda"
"174","シーダ","Sheeda"
"175","キーダ","Kida"
"176","ナーダ","Nada"
"177","アーダ","Ada"
"178","ソーダ","Soda"
"179","ハーダ","Hada"
"180","ワンダーシェフ","Wonder Chef"
"181","乗船受付","Longshoreman"
"182","宿屋","Innkeeper"
"183","武器・防具屋","Weapon & Armor Shop"
"184","道具・食材屋","Item & Food Shop"
"185","グレードショップ","Grade Shop"
"186","ミラ","Milla"
"187","ヒスイ","Hisui"
"188","コハク","Kohaku"
"189","？？？","???"
"190","狙撃手","Sniper"
"191","料理長","Head Chef"
"192","ホットドッグ屋","Hotdog Vendor"
"193","マティウス","Mattheus"
"194","噂好きのおにいさん","Rumor-loving Woman"
"195","情報通のおにいさん","Well-informed Man"
"196","トロ","Toro"
"197","クロ","Kuro"
"198","工場長","Factory Worker"
"199","バルカンの思念体","Vulcan's Illusion"
"200","行商人の思念体","Peddler's Illusion"
"201","２人","Both people"
"202","金の像","Golden Portrait"
"203","執事見習い","Apprentice Butler"
"204","ゴーダ","Goda"
